the	5888880
be	4214606
to	3130040
and	3038116
a	2862084
of	2689333
in	1826241
you	1281913
i	1244279
that	1201334
have	1196499
for	1133108
it	1077893
on	842344
with	836946
do	692020
as	669823
this	668155
your	516442
at	511389
or	503465
will	494658
not	471444
from	462481
can	446558
but	443065
we	438054
he	405732
by	404562
they	379207
n't	363061
if	360522
all	346301
's	320093
my	319786
one	315243
get	306849
so	306150
make	293621
use	290176
what	286888
his	278770
more	273113
there	266572
their	262791
go	262516
when	256942
about	255711
out	243386
time	242385
up	241641
say	238207
which	230194
like	228745
just	218515
would	216410
our	200779
know	196560
also	196463
some	195415
me	195271
who	195166
take	192996
year	190912
her	189965
new	187804
work	187721
its	187128
she	186923
how	185202
see	184684
them	184307
no	183894
other	169581
into	159805
need	159512
look	155067
any	151919
come	151363
than	148914
then	147644
only	147162
these	146872
think	146569
want	146470
people	144741
first	142816
find	141693
now	139074
day	138828
way	135569
well	130073
us	129937
over	129542
may	129152
most	127476
after	126516
could	125891
good	119592
give	117227
two	116712
because	115198
him	115093
right	115085
very	115046
here	112998
many	111768
where	111603
back	110528
thing	110272
help	109078
even	109077
should	108344
long	104109
much	102315
through	97386
great	94370
before	93889
while	90766
start	90117
show	89518
really	88057
such	86118
those	86011
place	83768
try	82676
life	82650
down	82048
service	81025
home	80676
each	79728
tell	78731
change	78541
love	78141
state	78078
high	78033
still	77612
call	77425
best	77234
off	77209
world	76795
provide	76459
part	76407
last	76398
man	75850
too	75447
keep	75435
same	75406
own	75360
around	73784
system	73427
mean	72201
school	72046
little	71176
both	69898
business	69606
feel	69093
why	68404
company	68298
set	68116
every	67870
end	67017
run	66470
play	65852
something	65352
create	65003
information	64595
never	63973
number	63971
child	63547
include	63159
point	63101
add	62071
name	61871
put	61540
program	61355
between	61350
few	61250
leave	61236
offer	61198
week	60916
another	60813
different	60063
support	60021
since	59951
product	59419
sure	59334
must	59236
become	59095
water	58283
student	57864
big	57559
always	57459
during	57385
area	57234
better	57108
case	57102
game	57008
book	56448
live	55964
far	55905
design	55882
old	55272
three	55139
post	55010
team	54825
family	54602
order	54513
ask	54284
next	54171
problem	54088
without	53759
write	53638
let	53293
experience	53058
might	52349
however	52131
small	51898
month	51719
under	51438
read	51348
move	51244
open	51242
again	51116
allow	50815
lot	50778
plan	49879
turn	49768
city	49764
easy	49552
large	49186
once	48387
level	48290
course	47986
line	47814
bring	47727
group	47701
question	46983
seem	46469
issue	46202
power	46121
story	46105
top	45979
woman	45975
result	45491
available	45411
second	45399
form	45395
house	45321
pay	45039
hold	44840
base	44810
process	44806
data	44463
talk	44241
able	44041
hand	43797
free	43730
follow	43525
customer	43442
away	43030
file	42503
side	42383
hour	42361
site	42048
happen	42027
list	41819
until	41717
word	41591
important	41524
learn	41513
though	41451
feature	41370
event	41322
head	41267
share	41162
money	41060
market	40943
including	40923
project	40866
friend	40838
example	40837
country	40754
car	40701
check	40653
idea	40597
require	40363
report	40303
member	39923
price	39867
care	39707
lead	39698
within	39653
light	39585
full	39580
build	39493
begin	39456
please	38995
cost	38982
hear	38835
type	38831
against	38722
ever	38694
buy	38419
receive	38349
enough	38168
note	37978
control	37916
believe	37900
early	37813
low	37758
night	37692
god	37608
community	37395
cause	37270
meet	37270
page	37046
room	36938
hard	36915
job	36834
bad	36632
return	36630
food	36593
study	36432
today	36312
send	36275
together	36235
person	36190
view	36003
test	35953
user	35937
often	35928
actually	35600
value	35451
oh	35429
less	35410
